,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KOS,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TOA,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WAS,WSM,YEM,ZAF,ZMB,ZRN,ZWE
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,1,3,0,0,0,2,1,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,2,0,1,0,0,4,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,10,0,0,0,0,0,0,0,0,0,4,1,2,1
ALB,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,7,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,0,0,3,1,0,48,14,0,0,12,0,0,1,3,6,0,1,0,0,0,0,4,0,3,0,0,0,70,8,0,17,0,0,0,0,0,0,1,0,1,4,59,0,10,0,10,0,38,0,16,2,2,6,0,39,0,0,95,0,1,0,0,0,0,5,0,0,0,0,0,0,2,0,6,4,49,5,14,7,0,2,21,0,33,11,0,2,0,0,0,5,0,31,0,9,0,4,0,0,1,0,3,0,2,12,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,11,0,0,0,1,0,27,7,0,18,25,8,0,0,0,0,0,4,0,5,0,0,0,19,0,2,7,0,30,1,0,39,0,0,0,0,0,6,0,0,0,0,1,14,0,0,3,0,0,2,1,0,0,0,0,11,27,4,0,0,0,0,204,2,0,0,0,0,0,0,0,2,10,0,0,0
ARG,0,0,0,0,0,3,0,2,0,131,57,0,0,83,0,0,1,8,0,0,0,2,0,0,26,512,2,0,0,1,0,257,100,232,90,0,0,1,127,0,0,21,29,0,68,407,0,50,4,7,58,1,0,668,5,1,31,0,365,0,0,319,2,1,0,0,0,1,14,0,0,6,0,0,5,4,1,33,2,95,58,7,0,0,22,259,0,1,57,2,5,2,1,0,65,0,5,0,3,0,0,0,0,1,0,4,1,6,1,0,0,1,0,188,0,0,0,0,0,0,1,0,0,0,10,1,0,0,2,3,141,15,0,27,2,2,5,40,9,0,0,47,0,53,8,0,0,0,0,16,75,0,3,0,0,8,0,0,3,0,0,5,0,0,0,9,17,101,0,0,0,0,0,12,0,0,0,0,2,1,19,12,0,2,6,80,1084,0,1,0,46,7,0,0,0,0,47,1,0,0
ARM,0,0,0,0,0,1,2,0,0,24,5,1,0,23,0,0,0,23,0,0,1,6,0,0,0,11,0,0,0,0,0,17,38,14,6,0,0,0,6,0,0,1,0,2,33,92,0,3,0,1,0,2,0,19,2,0,8,0,86,0,0,67,6,0,0,0,0,0,19,0,0,0,0,0,0,2,0,4,0,7,20,6,1,0,4,75,0,0,20,1,2,0,0,0,23,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,1,0,0,16,0,0,0,0,13,13,0,0,0,0,2,17,0,0,3,0,11,1,0,0,0,1,0,1,0,0,0,50,0,9,0,0,0,0,0,20,64,0,0,1,2,0,0,0,0,0,0,19,0,0,0,15,3,23,0,0,1,0,0,1,1,0,0,0,0,0,3,10,0,0,6,0,99,3,0,0,0,1,0,0,0,0,23,0,0,1
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,0,0,2,0,1,48,131,24,0,0,285,0,1,367,1,4,63,31,3,0,3,7,0,0,6,327,3,11,1,8,0,1624,644,118,2395,7,13,1,43,0,0,9,7,15,160,1697,0,430,0,9,6,29,0,612,36,7,243,44,1293,2,0,3977,4,7,0,1,0,1,110,1,0,0,2,0,2,43,1,96,146,405,257,267,6,35,221,788,0,23,939,2,30,1,16,0,370,0,12,10,11,0,2,0,1,54,0,11,5,4,2,3,1,5,0,148,4,4,2,6,0,10,5,0,6,7,217,23,29,4,18,1,856,303,11,1103,5,62,24,18,93,0,54,266,4,115,0,2,13,7,3,34,241,1,38,6,3,577,4,0,0,0,0,24,0,0,0,38,68,575,1,2,6,0,0,281,0,0,0,0,3,12,111,285,8,16,46,10,5782,5,1,0,13,98,5,0,0,1,353,8,5,5
