country_code,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,gdp2016,gdp2017,gdp2018
ABW,25834.11178,27083.63486,24631.18205,23513.5277,24985.01392,24712.49326,26441.61994,26893.01151,28396.90842,28452.17061,29350.80502,30253.27936
AFE,1278.971341,1356.529948,1326.251549,1550.121225,1682.287263,1667.992618,1648.867514,1654.314865,1503.859334,1401.281053,1536.206783,1530.161917
AFG,359.6931579,364.660679,438.0761424,543.3029674,591.1627983,641.871438,637.165464,613.8565052,578.4663529,509.2201005,519.8889126,493.7565814
AFW,1400.086007,1666.899847,1444.201899,1655.130138,1827.518347,1936.390962,2123.392433,2166.743309,1886.248158,1666.422406,1606.978332,1695.959215
AGO,3121.996085,4080.941034,3122.781599,3587.883645,4615.468219,5100.097027,5254.881126,5408.4117,4166.979833,3506.073128,4095.810057,3289.643995
ALB,3595.037163,4370.540127,4114.140114,4094.350334,4437.142885,4247.629984,4413.060861,4578.631994,3952.801215,4124.055726,4531.020806,5284.380184
AND,47804.84993,48719.65877,43504.21565,40850.24814,43334.81141,38686.46126,39540.72481,41303.92937,35770.7767,37475.63506,38964.90448,41791.96984
ARB,4963.699983,6149.711791,5180.55547,5948.674349,6870.098616,7455.041881,7505.174192,7436.580078,6346.032347,6093.331009,6095.66343,6568.984052
ARE,41809.46216,44498.94051,32024.19778,33893.26387,39194.67224,40976.49075,42412.6395,43751.80565,38663.4005,38141.86713,40644.79119,43839.32449
ARG,7245.446857,9020.873323,8225.137583,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14613.04182,11633.49801
ARM,3139.28071,4010.861381,2994.340471,3218.378299,3525.807198,3681.844691,3838.17388,3986.231624,3607.289299,3591.828052,3914.527854,4220.540321
ASM,8874.877928,9740.824491,11910.01323,10216.81763,10223.29836,11496.5241,11450.7242,11525.15639,12059.63516,12038.2497,11003.82976,11557.67116
ATG,15622.69287,16044.1058,14160.562,13048.96058,12746.63347,13272.73494,12910.59063,13501.58092,14285.32978,15198.74297,15383.5764,16673.4369
AUS,40960.05449,49601.65671,42772.35917,52022.1256,62517.83375,68012.1479,68150.10704,62510.79117,56755.72171,49971.13146,54027.96682,57354.96405
AUT,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45276.83144,47309.36627,51453.14702
AZE,3851.437869,5574.603802,4950.294791,5843.533768,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171
BDI,172.4955966,198.3528517,212.1370572,234.2355325,249.5779728,252.3588663,256.9756471,274.8578422,305.549646,282.1930285,292.9980095,271.7524964
BEL,44262.896,48106.89292,44583.54481,44141.87814,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,41984.10303,44089.31009,47554.74631
BEN,966.203581,1125.426029,1088.757852,1036.534594,1130.27319,1145.140019,1251.209707,1291.410107,1076.796702,1087.287304,1136.59397,1240.830962
BFA,535.0622795,643.404581,624.1751645,647.8360955,751.1727704,758.000427,787.4694383,792.8462374,653.3272681,688.2506963,734.996268,813.0996894
BGD,558.0518407,634.9870697,702.2644196,781.1535777,861.7621622,883.1171296,981.8608514,1118.873808,1248.45331,1401.564635,1563.767819,1698.132081
BGR,5885.104348,7265.735497,6988.233325,6812.406338,7809.425062,7395.849803,7655.129708,7876.866465,7055.935673,7548.855007,8334.081728,9427.73043
BHR,20976.44229,23066.45098,19355.92101,20722.07049,22514.20272,23654.36959,24744.29696,24989.43753,22634.08565,22608.45256,23742.93734,23991.04139
BHS,31472.28554,30627.32775,28552.51716,28443.88848,28005.9124,29485.86422,28784.02449,29980.70826,31295.56387,31563.30787,32719.66659,33767.94119
BIH,4193.36808,5090.945905,4714.693661,4635.510273,5092.554725,4778.636088,5131.404646,5329.631984,4727.276333,4994.68904,5394.579953,6072.184623
BLR,4735.657608,6377.369732,5351.355382,6029.3968,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,5022.626643,5761.74712,6330.075246
BLZ,4252.395386,4404.308194,4186.519984,4270.780031,4423.496842,4505.600593,4568.641228,4718.436581,4770.232656,4856.973249,4945.857699,5001.422157
BMU,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113023.1856
BOL,1372.628368,1715.208393,1754.209464,1955.460181,2346.337844,2609.880562,2908.200371,3081.878824,3035.971655,3076.656439,3351.124344,3548.59078
BRA,7348.030716,8831.023117,8597.915485,11286.2429,13245.61203,12370.02445,12300.32482,12112.58767,8814.001418,8710.096774,9928.643063,9151.445253
BRB,16770.66103,17092.58214,15885.41018,16056.37098,16458.35321,16249.67395,16451.27931,16489.07224,16524.8995,16900.04829,17391.66891,17745.25537
