country_code,v2x_libdem2007,v2x_libdem2008,v2x_libdem2009,v2x_libdem2010,v2x_libdem2011,v2x_libdem2012,v2x_libdem2013,v2x_libdem2014,v2x_libdem2015,v2x_libdem2016,v2x_libdem2017,v2x_libdem2018,e_regionpol
AFG,0.227,0.228,0.226,0.222,0.223,0.224,0.221,0.224,0.227,0.201,0.199,0.193,8
AGO,0.109,0.128,0.135,0.165,0.164,0.164,0.163,0.163,0.163,0.164,0.178,0.205,4
ALB,0.44,0.442,0.446,0.444,0.444,0.441,0.421,0.431,0.433,0.433,0.43,0.421,1
ARE,0.078,0.078,0.079,0.08,0.078,0.083,0.084,0.086,0.088,0.091,0.09,0.092,3
ARG,0.621,0.606,0.602,0.599,0.594,0.591,0.59,0.607,0.6,0.622,0.609,0.625,2
ARM,0.192,0.176,0.182,0.191,0.193,0.207,0.212,0.208,0.207,0.209,0.225,0.335,1
AUS,0.835,0.843,0.843,0.848,0.855,0.856,0.838,0.82,0.829,0.837,0.838,0.82,5
AUT,0.801,0.801,0.801,0.799,0.8,0.804,0.802,0.8,0.799,0.778,0.775,0.762,5
AZE,0.071,0.071,0.071,0.071,0.069,0.068,0.067,0.064,0.064,0.061,0.068,0.059,1
BDI,0.193,0.19,0.184,0.16,0.143,0.144,0.113,0.105,0.066,0.048,0.05,0.048,4
BEL,0.821,0.824,0.823,0.825,0.826,0.826,0.832,0.83,0.827,0.825,0.822,0.822,5
BEN,0.56,0.553,0.554,0.552,0.517,0.509,0.503,0.507,0.558,0.605,0.604,0.489,4
BFA,0.384,0.384,0.383,0.399,0.41,0.41,0.454,0.442,0.328,0.563,0.567,0.519,4
BGD,0.107,0.11,0.197,0.183,0.178,0.174,0.145,0.114,0.116,0.118,0.113,0.111,8
BGR,0.629,0.632,0.606,0.579,0.575,0.573,0.561,0.565,0.573,0.567,0.532,0.516,1
BHR,0.088,0.088,0.087,0.084,0.05,0.043,0.044,0.045,0.042,0.041,0.04,0.041,3
BIH,0.409,0.408,0.399,0.4,0.403,0.403,0.397,0.394,0.386,0.371,0.37,0.353,1
BLR,0.095,0.097,0.098,0.097,0.093,0.095,0.1,0.101,0.102,0.108,0.109,0.111,1
BOL,0.462,0.461,0.449,0.411,0.412,0.407,0.412,0.404,0.38,0.377,0.377,0.357,2
BRA,0.78,0.78,0.78,0.786,0.795,0.789,0.795,0.793,0.785,0.69,0.626,0.599,2
BRB,0.656,0.673,0.674,0.673,0.673,0.673,0.67,0.669,0.666,0.666,0.653,0.66,10
BTN,0.17,0.393,0.457,0.46,0.457,0.466,0.445,0.439,0.44,0.436,0.438,0.446,8
BWA,0.62,0.615,0.621,0.624,0.626,0.618,0.606,0.604,0.587,0.585,0.568,0.58,4
CAF,0.193,0.193,0.193,0.195,0.182,0.184,0.151,0.17,0.171,0.229,0.231,0.249,4
CAN,0.762,0.762,0.76,0.76,0.742,0.738,0.742,0.743,0.742,0.77,0.77,0.767,5
CHE,0.844,0.85,0.85,0.849,0.851,0.86,0.861,0.861,0.858,0.849,0.857,0.857,5
CHL,0.838,0.839,0.836,0.839,0.842,0.844,0.847,0.846,0.834,0.836,0.842,0.803,2
CHN,0.059,0.058,0.057,0.058,0.058,0.057,0.054,0.055,0.054,0.055,0.053,0.052,6
CIV,0.31,0.311,0.306,0.307,0.319,0.341,0.335,0.334,0.342,0.373,0.366,0.366,4
CMR,0.162,0.161,0.163,0.161,0.163,0.17,0.161,0.163,0.162,0.15,0.138,0.129,4
COD,0.152,0.152,0.156,0.158,0.157,0.148,0.134,0.135,0.131,0.13,0.119,0.126,4
COG,0.094,0.093,0.093,0.092,0.092,0.092,0.098,0.098,0.098,0.097,0.099,0.106,4
COL,0.44,0.448,0.448,0.489,0.529,0.53,0.528,0.535,0.535,0.53,0.527,0.51,2
COM,0.333,0.334,0.325,0.32,0.343,0.343,0.374,0.382,0.314,0.305,0.232,0.211,4
CPV,0.694,0.696,0.696,0.69,0.696,0.696,0.708,0.708,0.71,0.707,0.698,0.678,4
CRI,0.859,0.859,0.858,0.86,0.861,0.861,0.859,0.858,0.86,0.857,0.851,0.839,2
CUB,0.06,0.07,0.071,0.072,0.072,0.072,0.08,0.08,0.08,0.081,0.084,0.087,2
CYP,0.745,0.747,0.752,0.759,0.759,0.756,0.755,0.755,0.759,0.759,0.762,0.759,5
