country_code,authors2008,authors2009,authors2010,authors2011,authors2012,authors2013,authors2014,authors2015,authors2016,authors2017
ABW,1,4,8,9,7,9,15,12,23,11
AFG,50,59,82,113,107,107,122,94,175,204
AGO,37,58,55,80,106,106,137,151,161,218
AIA,0,2,0,2,4,8,13,23,17,2
ALB,158,239,358,399,542,731,761,646,619,494
AND,42,19,43,5,20,14,18,31,28,14
ANT,23,83,47,17,12,7,25,4,2,5
ARE,1694,1989,2231,2463,2922,3213,3775,4494,5551,6113
ARG,15016,16334,18202,19028,19848,20806,21894,22350,23789,24429
ARM,974,950,1151,1288,1286,1217,1302,1262,1276,1370
ASM,13,19,11,12,8,31,23,10,9,6
ATA,5,5,8,3,6,1,3,0,1,3
ATF,2,0,0,0,0,0,0,0,0,0
ATG,18,7,8,3,10,13,16,9,21,30
AUS,60368,64590,70344,74819,78582,86113,91473,95714,100442,103434
AUT,19052,20283,21007,25633,23668,24603,25728,26666,27866,28726
AZE,980,1144,1187,1243,1198,1107,898,1017,1352,1556
BDI,9,13,38,42,39,51,48,60,81,59
BEL,26080,27789,28668,30471,31854,33699,34680,35592,37934,37843
BEN,262,351,299,463,555,662,654,734,700,805
BFA,400,427,420,533,707,727,784,861,939,929
BGD,2702,3112,3788,4037,5061,5208,6446,6199,6973,7789
BGR,4549,5030,4899,4756,5174,5440,5545,5430,5713,6105
BHR,253,313,342,330,301,456,440,391,572,665
BHS,9,27,12,31,18,38,50,36,33,38
BIH,923,1058,1216,1313,1347,1373,1319,1539,1636,1997
BLR,2078,2298,2072,2326,2202,2390,2264,2189,2404,2450
BLZ,14,30,41,13,28,35,29,40,37,59
BMU,30,27,34,29,46,42,30,41,44,44
BOL,311,341,314,361,377,359,430,428,434,475
BRA,83683,93697,101742,111864,125120,133593,142149,147488,158802,171037
BRB,48,38,26,21,30,46,41,36,33,39
BRN,69,74,116,115,163,211,334,336,435,450
BTN,21,39,53,66,45,89,77,113,155,169
BVT,0,0,0,0,0,0,0,0,0,0
BWA,363,397,396,426,410,521,567,508,734,701
CAF,45,56,59,69,57,68,84,69,140,112
CAN,92102,97071,100360,104446,109215,112452,116909,120614,123567,127185
CCK,0,4,1,1,0,0,0,0,0,0
CHE,36937,37742,39978,45567,51146,50517,52554,51309,54009,55526
CHL,9465,10204,10893,11864,13134,13444,15508,16468,17831,18837
CHN,431785,505784,564267,650595,717773,824690,915327,913484,1006785,1103226
CIV,766,732,778,859,885,766,924,877,904,977
CMR,982,1209,1297,1473,1678,1755,2078,2280,2566,2746
COD,175,175,250,194,309,367,410,516,541,641
COG,175,217,223,289,369,390,518,529,495,561
COK,0,8,4,16,22,8,28,11,9,15
COL,5894,6997,7955,8923,10463,11730,13064,13978,16647,19012
COM,7,6,8,11,33,27,12,23,29,24
CPV,8,14,12,7,16,36,35,60,49,70
CRI,674,667,714,749,825,798,1067,1038,1270,1451
CSK,2,0,0,0,0,0,0,0,0,0
CSX,0,0,0,7,0,0,0,0,0,0
CUB,3675,4419,4019,4972,4827,4983,4784,4316,3863,3940
CUW,8,4,3,3,2,4,4,8,6,5
CXR,0,0,0,0,0,1,0,0,0,1
CYM,17,25,17,31,19,12,27,14,12,19
CYP,1017,1211,1302,1371,1543,1854,1823,1910,2241,2254
