country_code,urb2008,urb2009,urb2010,urb2011,urb2012,urb2013,urb2014,urb2015,urb2016,urb2017
ABW,43.783,43.421,43.059,42.94,42.957,42.99,43.041,43.108,43.192,43.293
AFE,31.33132106,31.7564714,32.1934098,32.64154811,33.07168716,33.50754797,33.95242436,34.40508391,34.86510094,35.3323726
AFG,23.32,23.528,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25
AFW,40.34596002,40.98431673,41.62587945,42.26466339,42.90103543,43.53070432,44.15713096,44.781373,45.40180911,46.01933354
AGO,58.282,59.034,59.783,60.528,61.268,62.002,62.731,63.446,64.149,64.839
ALB,49.991,51.076,52.163,53.247,54.33,55.387,56.423,57.434,58.421,59.383
AND,89.004,88.912,88.819,88.726,88.631,88.537,88.441,88.345,88.248,88.15
ARB,55.57907435,56.0097688,56.44088052,56.79189573,57.09839627,57.40073405,57.69232547,58.03146615,58.34562698,58.64232235
ARE,83.387,83.742,84.087,84.423,84.749,85.066,85.375,85.674,85.965,86.248
ARG,90.53,90.691,90.849,90.99,91.121,91.249,91.377,91.503,91.627,91.749
ARM,63.64,63.54,63.44,63.34,63.24,63.164,63.112,63.085,63.082,63.103
ASM,87.799,87.697,87.594,87.502,87.42,87.348,87.288,87.238,87.198,87.17
ATG,27.405,26.818,26.238,25.703,25.526,25.35,25.175,25,24.846,24.713
AUS,84.943,85.063,85.182,85.3,85.402,85.502,85.602,85.701,85.8,85.904
AUT,57.966,57.683,57.399,57.115,57.147,57.336,57.526,57.715,57.905,58.094
AZE,52.99,53.19,53.406,53.637,53.883,54.145,54.422,54.714,55.021,55.343
BDI,10.118,10.376,10.642,10.915,11.194,11.482,11.776,12.078,12.388,12.706
BEL,97.555,97.603,97.651,97.698,97.744,97.789,97.833,97.876,97.919,97.961
BEN,42.069,42.58,43.093,43.608,44.125,44.642,45.166,45.695,46.229,46.768
BFA,23.534,24.079,24.633,25.196,25.767,26.346,26.934,27.53,28.134,28.743
BGD,28.968,29.709,30.462,31.225,31.993,32.762,33.535,34.308,35.083,35.858
BGR,71.622,71.963,72.302,72.638,72.975,73.313,73.651,73.99,74.329,74.669
BHR,88.53,88.579,88.634,88.695,88.762,88.835,88.915,88.999,89.09,89.186
BHS,82.343,82.385,82.427,82.476,82.532,82.596,82.668,82.746,82.832,82.925
BIH,44.92,45.239,45.558,45.878,46.199,46.519,46.84,47.173,47.518,47.876
BLR,73.726,74.172,74.672,75.188,75.697,76.199,76.693,77.181,77.661,78.134
BLZ,45.262,45.245,45.228,45.228,45.246,45.282,45.335,45.406,45.495,45.601
BMU,100,100,100,100,100,100,100,100,100,100
BOL,65.535,65.984,66.43,66.874,67.315,67.699,68.047,68.393,68.738,69.08
BRA,83.749,84.044,84.335,84.631,84.923,85.209,85.492,85.77,86.042,86.309
BRB,32.256,32.063,31.87,31.7,31.553,31.429,31.328,31.249,31.193,31.159
BRN,74.252,74.608,74.961,75.31,75.656,75.997,76.332,76.663,76.99,77.312
BTN,33.236,34.01,34.793,35.585,36.371,37.149,37.918,38.678,39.428,40.167
BWA,59.444,60.937,62.412,63.865,64.768,65.572,66.368,67.155,67.933,68.7
CAF,38.506,38.694,38.904,39.135,39.388,39.663,39.959,40.277,40.618,40.98
CAN,80.578,80.758,80.937,81.096,81.137,81.178,81.218,81.259,81.3,81.35
CEB,61.92454055,61.98604688,62.02606502,62.06393449,62.08177697,62.09681374,62.11364514,62.14067246,62.18448432,62.24845473
CHE,73.556,73.581,73.607,73.631,73.653,73.674,73.696,73.718,73.739,73.761
CHI,30.929,30.992,31.054,31.091,31.059,31.027,30.995,30.962,30.93,30.914
CHL,86.959,87.017,87.074,87.132,87.189,87.246,87.303,87.36,87.422,87.49
CHN,46.539,47.88,49.226,50.511,51.765,53.013,54.259,55.5,56.736,57.96
CIV,46.491,46.91,47.33,47.751,48.172,48.593,49.014,49.444,49.881,50.326
CMR,50.35,50.954,51.559,52.164,52.769,53.373,53.976,54.578,55.179,55.777
COD,38.976,39.491,40.013,40.544,41.082,41.627,42.18,42.74,43.307,43.88
COG,62.346,62.8,63.256,63.712,64.169,64.627,65.085,65.543,66.001,66.459
COL,77.204,77.587,77.964,78.335,78.701,79.061,79.415,79.764,80.108,80.446
COM,27.886,27.921,27.973,28.04,28.123,28.223,28.338,28.47,28.619,28.784
CPV,60.194,61.016,61.821,62.322,62.821,63.317,63.81,64.3,64.784,65.261
CRI,69.39,70.575,71.736,72.868,73.946,74.97,75.941,76.862,77.735,78.56
CSS,50.42751878,50.43037034,50.43402222,50.45632467,50.51800152,50.5913943,50.68010498,50.7845672,50.90634709,51.04462326
CUB,76.413,76.505,76.597,76.689,76.781,76.827,76.861,76.896,76.93,76.977
CUW,90.161,90.034,89.905,89.775,89.654,89.544,89.443,89.352,89.272,89.203
CYM,100,100,100,100,100,100,100,100,100,100
CYP,67.839,67.695,67.551,67.406,67.261,67.137,67.031,66.946,66.881,66.836
CZE,73.394,73.324,73.255,73.185,73.197,73.29,73.384,73.477,73.57,73.675
DEU,76.575,76.771,76.966,77.16,77.17,77.18,77.19,77.2,77.224,77.261
DJI,76.899,76.944,76.999,77.064,77.138,77.222,77.314,77.417,77.528,77.648
DMA,67.502,67.799,68.094,68.389,68.685,68.982,69.28,69.579,69.88,70.181
DNK,86.487,86.654,86.795,86.957,87.142,87.292,87.41,87.526,87.642,87.757
DOM,71.3,72.542,73.753,74.827,75.802,76.749,77.67,78.566,79.436,80.277
DZA,66.097,66.826,67.54,68.236,68.915,69.576,70.221,70.848,71.459,72.052
EAP,45.40906973,46.51393838,47.62011591,48.66232382,49.67864541,50.68843358,51.69517785,52.69691769,53.69480469,54.68476421
EAR,41.22924134,41.61308403,41.99906469,42.37763647,42.75794516,43.14238016,43.53068829,43.92865352,44.32650759,44.72589825
EAS,49.88570074,50.91744116,51.94533708,52.87592052,53.77087852,54.65936426,55.5481306,56.4350009,57.31900645,58.19461494
ECA,65.30420148,65.4977927,65.67695444,65.83970527,65.99416595,66.14859577,66.30603346,66.46966825,66.63962131,66.81490071
ECS,70.37546125,70.57759411,70.7712101,70.9470448,71.12166594,71.29377108,71.46553755,71.64450241,71.82868423,72.01701422
ECU,62.3,62.495,62.69,62.851,62.988,63.125,63.261,63.398,63.534,63.67
EGY,43.058,43.039,43.019,43,42.946,42.893,42.839,42.785,42.732,42.705
EMU,74.82314788,75.05089045,75.28169805,75.50902287,75.72369351,75.92912164,76.12809947,76.33926161,76.55296922,76.77044716
ERI,34,34.585,35.175,35.771,,,,,,
ESP,77.976,78.21,78.442,78.673,78.902,79.133,79.366,79.602,79.84,80.08
EST,68.351,68.223,68.094,67.965,67.974,68.122,68.269,68.416,68.563,68.717
ETH,16.51,16.91,17.319,17.735,18.16,18.575,18.998,19.428,19.866,20.31
EUU,72.55503086,72.7634111,72.97232615,73.16805773,73.35688824,73.53940583,73.71784858,73.90818407,74.10507332,74.30750954
FCS,37.7448509,38.15439119,38.57556024,38.96888532,39.35425194,39.74286676,40.13054432,40.55026954,40.95836049,41.36029563
FIN,83.299,83.429,83.77,84.313,84.841,85.125,85.175,85.225,85.275,85.325
FJI,51.146,51.658,52.171,52.683,53.196,53.706,54.216,54.726,55.235,55.742
FRA,77.868,78.117,78.369,78.622,78.878,79.135,79.394,79.655,79.917,80.18
FRO,40.536,40.731,40.926,41.088,41.225,41.363,41.501,41.638,41.777,41.914
FSM,22.311,22.305,22.298,22.305,22.324,22.355,22.399,22.456,22.526,22.608
